Date,Value
2000,108.56
2001,114.65
2002,107.57
2003,93.3
2004,87.38
2005,86.4
2006,85.11
2007,81.39
2008,77.26
2009,83.18
2010,81.25
2011,76.84
2012,80.6
2013,81.82
2014,83.33
2015,96.64
2016,96.88
2017,96.48
2018,93.63
2019,97.43
2020,94.84
2021,92.5
2022,104.0
2023,103.48
2024,104.22
2025,105.15
2026,99.45
