Date,Value
2000,276.67
2001,271.13
2002,312.86
2003,367.62
2004,409.80
2005,448.97
2006,611.53
2007,704.67
2008,880.20
2009,982.64
2010,1230.75
2011,1567.95
2012,1679.83
2013,1399.56
2014,1256.25
2015,1151.94
2016,1249.97
2017,1269.33
2018,1265.60
2019,1405.32
2020,1784.65
2021,1792.73
2022,1798.95
2023,1953.68
2024,2404.57
2025,3472.54
2026,4849.07
